,ID,Sp_name,Sci_name,Group,ISSCAAP,Country,Fishing_area,AQ_median,AQ_q25,AQ_q75,AQ_medianNOW,AQ_q25NOW,AQ_q75NOW,Net_Median,Net_q25,Net_q75,Larval_M,Adult_M,CAPSUM_tonnes,AQSUM_tonnes,Positive,Percent_spared
11,"Anarhichas lupus_Poland_Atlantic, Northeast",Atlantic wolffish,Anarhichas lupus,finfish,Miscellaneous demersal fishes,Poland,"Atlantic, Northeast",0.8,0.7,1,0.87,0.87,0.87,0.07,-0.13,0.17,0.33,0.13,1,0,1,0.07
12,"Anarhichas lupus_Russian Federation_Atlantic, Northeast",Atlantic wolffish,Anarhichas lupus,finfish,Miscellaneous demersal fishes,Russian Federation,"Atlantic, Northeast",1090.8,954.5,1272.6,1139.7,1139.7,1139.7,48.9,-132.9,185.2,0.33,0.13,1310,0,1,0.04
13,"Anarhichas lupus_Spain_Atlantic, Northeast",Atlantic wolffish,Anarhichas lupus,finfish,Miscellaneous demersal fishes,Spain,"Atlantic, Northeast",5,4.3,5.8,5.22,5.22,5.22,0.22,-0.58,0.92,0.33,0.13,6,0,1,0.04
14,"Anarhichas lupus_Sweden_Atlantic, Northeast",Atlantic wolffish,Anarhichas lupus,finfish,Miscellaneous demersal fishes,Sweden,"Atlantic, Northeast",16.7,14.6,19.4,17.4,17.4,17.4,0.7,-2,2.8,0.33,0.13,20,0,1,0.03
15,"Anarhichas lupus_United Kingdom_Atlantic, Northeast",Atlantic wolffish,Anarhichas lupus,finfish,Miscellaneous demersal fishes,United Kingdom,"Atlantic, Northeast",135.7,118.8,158.3,141.81,141.81,141.81,6.11,-16.49,23.01,0.33,0.13,163,0,1,0.04
16,Anguilla anguilla_Algeria_Mediterranean and Black Sea,European eel,Anguilla anguilla,finfish,River eels,Algeria,Mediterranean and Black Sea,65.3,57.1,76.1,77.42,77.42,77.42,12.12,1.32,20.32,0.41,0.21,98,0,1,0.12
17,Anguilla anguilla_Croatia_Mediterranean and Black Sea,European eel,Anguilla anguilla,finfish,River eels,Croatia,Mediterranean and Black Sea,0.6,0.6,0.8,0.79,0.79,0.79,0.19,-0.01,0.19,0.41,0.21,1,0,1,0.19
18,"Anguilla anguilla_Denmark_Atlantic, Northeast",European eel,Anguilla anguilla,finfish,River eels,Denmark,"Atlantic, Northeast",546.7,478.3,637.8,578.16,531.06,641.06,31.46,3.26,52.76,0.41,0.21,254,567,1,0.12
19,"Anguilla anguilla_Estonia_Atlantic, Northeast",European eel,Anguilla anguilla,finfish,River eels,Estonia,"Atlantic, Northeast",0.6,0.6,0.8,0.79,0.79,0.79,0.19,-0.01,0.19,0.41,0.21,1,0,1,0.19
20,"Anguilla anguilla_Finland_Atlantic, Northeast",European eel,Anguilla anguilla,finfish,River eels,Finland,"Atlantic, Northeast",6.6,5.8,7.8,7.9,7.9,7.9,1.3,0.1,2.1,0.41,0.21,10,0,1,0.13
