ID,Sci_Name,Common,ISSCAAP,Sp.grp,Year,Country_name,Fishing_Area,Fishing_name,CAPSUM_tonnes,AQSUM_tonnes,TOTAL_tonnes,Binary,Early_M,Late_M
"Dicentrarchus punctatus_Portugal_Atlantic, Northeast",Dicentrarchus punctatus,Spotted seabass,Miscellaneous coastal fishes,finfish,2016,Portugal,27,"Atlantic, Northeast",45,0,45,CBA,0.39,0.19
"Dicentrarchus punctatus_Senegal_Atlantic, Eastern Central",Dicentrarchus punctatus,Spotted seabass,Miscellaneous coastal fishes,finfish,2016,Senegal,34,"Atlantic, Eastern Central",117,0,117,CBA,0.39,0.19
"Dicentrarchus punctatus_Spain_Atlantic, Northeast",Dicentrarchus punctatus,Spotted seabass,Miscellaneous coastal fishes,finfish,2016,Spain,27,"Atlantic, Northeast",22,0,22,CBA,0.39,0.19
Diplodus sargus_Algeria_Mediterranean and Black Sea,Diplodus sargus,White seabream,Miscellaneous coastal fishes,finfish,2016,Algeria,37,Mediterranean and Black Sea,118,0,118,CBA,0.55,0.35
Diplodus sargus_Croatia_Mediterranean and Black Sea,Diplodus sargus,White seabream,Miscellaneous coastal fishes,finfish,2016,Croatia,37,Mediterranean and Black Sea,3,0,3,CBA,0.55,0.35
Diplodus sargus_Cyprus_Mediterranean and Black Sea,Diplodus sargus,White seabream,Miscellaneous coastal fishes,finfish,2016,Cyprus,37,Mediterranean and Black Sea,14,0,14,CBA,0.55,0.35
Diplodus sargus_Egypt_Mediterranean and Black Sea,Diplodus sargus,White seabream,Miscellaneous coastal fishes,finfish,2016,Egypt,37,Mediterranean and Black Sea,455,0,455,CBA,0.55,0.35
"Diplodus sargus_France_Atlantic, Northeast",Diplodus sargus,White seabream,Miscellaneous coastal fishes,finfish,2016,France,27,"Atlantic, Northeast",298,0,298,CBA,0.55,0.35
Diplodus sargus_France_Mediterranean and Black Sea,Diplodus sargus,White seabream,Miscellaneous coastal fishes,finfish,2016,France,37,Mediterranean and Black Sea,67,0,67,CBA,0.55,0.35
Diplodus sargus_Greece_Mediterranean and Black Sea,Diplodus sargus,White seabream,Miscellaneous coastal fishes,finfish,2016,Greece,37,Mediterranean and Black Sea,339,0,339,CBA,0.55,0.35
Diplodus sargus_Italy_Mediterranean and Black Sea,Diplodus sargus,White seabream,Miscellaneous coastal fishes,finfish,2016,Italy,37,Mediterranean and Black Sea,171,4,175,CBA,0.55,0.35
Diplodus sargus_Lebanon_Mediterranean and Black Sea,Diplodus sargus,White seabream,Miscellaneous coastal fishes,finfish,2016,Lebanon,37,Mediterranean and Black Sea,239,0,239,CBA,0.55,0.35
Diplodus sargus_Libya_Mediterranean and Black Sea,Diplodus sargus,White seabream,Miscellaneous coastal fishes,finfish,2016,Libya,37,Mediterranean and Black Sea,500,0,500,CBA,0.55,0.35
"Diplodus sargus_Lithuania_Atlantic, Eastern Central",Diplodus sargus,White seabream,Miscellaneous coastal fishes,finfish,2016,Lithuania,34,"Atlantic, Eastern Central",5,0,5,CBA,0.55,0.35
Diplodus sargus_Malta_Mediterranean and Black Sea,Diplodus sargus,White seabream,Miscellaneous coastal fishes,finfish,2016,Malta,37,Mediterranean and Black Sea,13,0,13,CBA,0.55,0.35
"Diplodus sargus_Portugal_Atlantic, Northeast",Diplodus sargus,White seabream,Miscellaneous coastal fishes,finfish,2016,Portugal,27,"Atlantic, Northeast",401,3.77,404.77,CBA,0.55,0.35
"Diplodus sargus_Spain_Atlantic, Northeast",Diplodus sargus,White seabream,Miscellaneous coastal fishes,finfish,2016,Spain,27,"Atlantic, Northeast",687,2.975,689.975,CBA,0.55,0.35
Diplodus sargus_Spain_Mediterranean and Black Sea,Diplodus sargus,White seabream,Miscellaneous coastal fishes,finfish,2016,Spain,37,Mediterranean and Black Sea,154,0,154,CBA,0.55,0.35
Diplodus sargus_Syrian Arab Republic_Mediterranean and Black Sea,Diplodus sargus,White seabream,Miscellaneous coastal fishes,finfish,2016,Syrian Arab Republic,37,Mediterranean and Black Sea,60,0,60,CBA,0.55,0.35
Diplodus sargus_Tunisia_Mediterranean and Black Sea,Diplodus sargus,White seabream,Miscellaneous coastal fishes,finfish,2016,Tunisia,37,Mediterranean and Black Sea,554,0,554,CBA,0.55,0.35
Diplodus vulgaris_Croatia_Mediterranean and Black Sea,Diplodus vulgaris,Common two-banded seabream,Miscellaneous coastal fishes,finfish,2016,Croatia,37,Mediterranean and Black Sea,17,0,17,CBA,0.6,0.4
Diplodus vulgaris_Cyprus_Mediterranean and Black Sea,Diplodus vulgaris,Common two-banded seabream,Miscellaneous coastal fishes,finfish,2016,Cyprus,37,Mediterranean and Black Sea,2,0,2,CBA,0.6,0.4
Diplodus vulgaris_France_Mediterranean and Black Sea,Diplodus vulgaris,Common two-banded seabream,Miscellaneous coastal fishes,finfish,2016,France,37,Mediterranean and Black Sea,3,0,3,CBA,0.6,0.4
Diplodus vulgaris_Israel_Mediterranean and Black Sea,Diplodus vulgaris,Common two-banded seabream,Miscellaneous coastal fishes,finfish,2016,Israel,37,Mediterranean and Black Sea,70,0,70,CBA,0.6,0.4
Diplodus vulgaris_Italy_Mediterranean and Black Sea,Diplodus vulgaris,Common two-banded seabream,Miscellaneous coastal fishes,finfish,2016,Italy,37,Mediterranean and Black Sea,182,0,182,CBA,0.6,0.4
