,Sp_name,Sci_name,Group,ISSCAAP,Country,Fishing_area,AQ_median,AQ_q25,AQ_q75,AQ_medianNOW,AQ_q25NOW,AQ_q75NOW,Net_Median,Net_q25,Net_q75,Larval_M,Adult_M,CAPSUM_tonnes,AQSUM_tonnes,Positive,Percent_spared
60,Humpback grouper,Cromileptes altivelis,finfish,Miscellaneous coastal fishes,Indonesia,"Indian Ocean, Eastern",2762.2,2417,3222.6,2762.2,2762.2,2762.2,0,-460.4,345.2,0.5,0.3,3946,0,0,0
61,Humpback grouper,Cromileptes altivelis,finfish,Miscellaneous coastal fishes,Indonesia,"Pacific, Western Central",6311.9,5522.9,7363.9,6311.9,6311.9,6311.9,0,-1052,789,0.5,0.3,9017,0,0,0
62,Common dentex,Dentex dentex,finfish,Miscellaneous coastal fishes,Albania,Mediterranean and Black Sea,16,14.1,18.7,14.22,14.22,14.22,-1.78,-4.48,0.12,0.41,0.21,18,0,0,-0.1
63,Common dentex,Dentex dentex,finfish,Miscellaneous coastal fishes,Algeria,Mediterranean and Black Sea,8.1,7,9.3,7.11,7.11,7.11,-0.99,-2.19,0.11,0.41,0.21,9,0,0,-0.11
64,Common dentex,Dentex dentex,finfish,Miscellaneous coastal fishes,Croatia,Mediterranean and Black Sea,18.9,16.5,22,16.8,16.7,16.9,-2.1,-5.1,0.2,0.41,0.21,20,1.106,0,-0.11
65,Common dentex,Dentex dentex,finfish,Miscellaneous coastal fishes,Cyprus,Mediterranean and Black Sea,1.8,1.6,2.1,1.58,1.58,1.58,-0.22,-0.52,-0.02,0.41,0.21,2,0,0,-0.11
66,Common dentex,Dentex dentex,finfish,Miscellaneous coastal fishes,France,Mediterranean and Black Sea,9.8,8.6,11.5,8.69,8.69,8.69,-1.11,-2.81,0.09,0.41,0.21,11,0,0,-0.1
67,Common dentex,Dentex dentex,finfish,Miscellaneous coastal fishes,Greece,"Atlantic, Eastern Central",7.1,6.2,8.3,6.32,6.32,6.32,-0.78,-1.98,0.12,0.41,0.21,8,0,0,-0.1
68,Common dentex,Dentex dentex,finfish,Miscellaneous coastal fishes,Greece,Mediterranean and Black Sea,229.1,200.4,267.3,203.03,203.03,203.03,-26.07,-64.27,2.63,0.41,0.21,257,0,0,-0.1
69,Common dentex,Dentex dentex,finfish,Miscellaneous coastal fishes,Italy,"Atlantic, Eastern Central",1.8,1.6,2.1,1.58,1.58,1.58,-0.22,-0.52,-0.02,0.41,0.21,2,0,0,-0.11
70,Common dentex,Dentex dentex,finfish,Miscellaneous coastal fishes,Italy,Mediterranean and Black Sea,156.9,137.3,183,139.04,139.04,139.04,-17.86,-43.96,1.74,0.41,0.21,176,0,0,-0.1
71,Common dentex,Dentex dentex,finfish,Miscellaneous coastal fishes,Libya,Mediterranean and Black Sea,289.8,253.5,338,256.75,256.75,256.75,-33.05,-81.25,3.25,0.41,0.21,325,0,0,-0.1
72,Common dentex,Dentex dentex,finfish,Miscellaneous coastal fishes,Malta,Mediterranean and Black Sea,5.4,4.7,6.2,4.74,4.74,4.74,-0.66,-1.46,0.04,0.41,0.21,6,0,0,-0.11
73,Common dentex,Dentex dentex,finfish,Miscellaneous coastal fishes,Montenegro,Mediterranean and Black Sea,9.8,8.6,11.5,8.69,8.69,8.69,-1.11,-2.81,0.09,0.41,0.21,11,0,0,-0.1
74,Common dentex,Dentex dentex,finfish,Miscellaneous coastal fishes,Portugal,"Atlantic, Northeast",7.1,6.2,8.3,6.32,6.32,6.32,-0.78,-1.98,0.12,0.41,0.21,8,0,0,-0.1
75,Common dentex,Dentex dentex,finfish,Miscellaneous coastal fishes,Spain,"Atlantic, Northeast",16,14.1,18.7,14.22,14.22,14.22,-1.78,-4.48,0.12,0.41,0.21,18,0,0,-0.1
76,Common dentex,Dentex dentex,finfish,Miscellaneous coastal fishes,Spain,"Atlantic, Eastern Central",70.5,61.7,82.2,62.41,62.41,62.41,-8.09,-19.79,0.71,0.41,0.21,79,0,0,-0.1
77,Common dentex,Dentex dentex,finfish,Miscellaneous coastal fishes,Spain,Mediterranean and Black Sea,83.8,73.3,97.8,74.26,74.26,74.26,-9.54,-23.54,0.96,0.41,0.21,94,0,0,-0.1
78,Common dentex,Dentex dentex,finfish,Miscellaneous coastal fishes,Tunisia,Mediterranean and Black Sea,227.4,199,265.3,201.45,201.45,201.45,-25.95,-63.85,2.45,0.41,0.21,255,0,0,-0.1
79,Common dentex,Dentex dentex,finfish,Miscellaneous coastal fishes,Turkey,Mediterranean and Black Sea,86.5,75.6,100.9,80.96,76.26,87.36,-5.54,-13.54,0.66,0.41,0.21,54,43,0,-0.1
80,Pink dentex,Dentex gibbosus,finfish,Miscellaneous coastal fishes,Croatia,Mediterranean and Black Sea,1.5,1.3,1.8,1.46,1.46,1.46,-0.04,-0.34,0.16,0.47,0.27,2,0,0,-0.02
81,Spotted seabass,Dicentrarchus punctatus,finfish,Miscellaneous coastal fishes,Egypt,Mediterranean and Black Sea,354.3,310,413.3,306.18,306.18,306.18,-48.12,-107.12,-3.82,0.39,0.19,378,0,0,-0.13
82,Spotted seabass,Dicentrarchus punctatus,finfish,Miscellaneous coastal fishes,France,"Atlantic, Northeast",118.1,103.4,137.8,102.06,102.06,102.06,-16.04,-35.74,-1.34,0.39,0.19,126,0,0,-0.13
83,Spotted seabass,Dicentrarchus punctatus,finfish,Miscellaneous coastal fishes,Libya,Mediterranean and Black Sea,89,77.9,103.8,76.95,76.95,76.95,-12.05,-26.85,-0.95,0.39,0.19,95,0,0,-0.13
84,Spotted seabass,Dicentrarchus punctatus,finfish,Miscellaneous coastal fishes,Mauritania,"Atlantic, Eastern Central",203.4,178,237.3,175.77,175.77,175.77,-27.63,-61.53,-2.23,0.39,0.19,217,0,0,-0.13
85,Spotted seabass,Dicentrarchus punctatus,finfish,Miscellaneous coastal fishes,Portugal,"Atlantic, Northeast",42.2,36.9,49.2,36.45,36.45,36.45,-5.75,-12.75,-0.45,0.39,0.19,45,0,0,-0.13
86,Spotted seabass,Dicentrarchus punctatus,finfish,Miscellaneous coastal fishes,Senegal,"Atlantic, Eastern Central",109.7,95.9,127.9,94.77,94.77,94.77,-14.93,-33.13,-1.13,0.39,0.19,117,0,0,-0.13
87,Spotted seabass,Dicentrarchus punctatus,finfish,Miscellaneous coastal fishes,Spain,"Atlantic, Northeast",20.6,18.1,24.1,17.82,17.82,17.82,-2.78,-6.28,-0.28,0.39,0.19,22,0,0,-0.13
88,White seabream,Diplodus sargus,finfish,Miscellaneous coastal fishes,Algeria,Mediterranean and Black Sea,71.2,62.3,83.1,76.7,76.7,76.7,5.5,-6.4,14.4,0.55,0.35,118,0,1,0.05
89,White seabream,Diplodus sargus,finfish,Miscellaneous coastal fishes,Croatia,Mediterranean and Black Sea,1.8,1.6,2.1,1.95,1.95,1.95,0.15,-0.15,0.35,0.55,0.35,3,0,1,0.05
