stock_id,sci_name,sp_name,Major_Group,ISSCAAP_Group,fishing_region,bbmsy_q2.5,bbmsy_q25,bbmsy_q50,bbmsy_q75,bbmsy_q97.5,bbmsy_sd,bbmsy_mean,startbio,Bmsy,B_q50,B_q25,B_q75,year,r,k,msy,Fmsy,F_q50,ffmsy_q50,F_q25,ffmsy_q75,F_q75,ffmsy_q25,catch_2016,Dom_level,M_dsrt_early,AQ_tonnes_2016
Mytilus_edulis-Atlantic_Northeast,Mytilus edulis,Blue mussel,MOLLUSCA,Mussels,Atlantic Northeast,0.05,0.28,0.51,0.66,0.79,0.22,0.47,752503.54,566506.79,291337.4,159665.72,372891.27,2016,0.35,1133013.58,95148.54,0.17,0.23,1.34,0.42,2.45,0.18,1.05,67824,CBA,0.43,151144.09
Mytilus_edulis-Atlantic_Northwest,Mytilus edulis,Blue mussel,MOLLUSCA,Mussels,Atlantic Northwest,0.04,0.32,0.5,0.67,0.78,0.22,0.48,123780.43,95855.74,48367.2,30471.2,64669.23,2016,0.26,191711.48,12156.74,0.13,0.21,1.6,0.33,2.54,0.15,1.2,9911,CBA,0.43,26164
Mytilus_galloprovincialis-Mediterranean and Black Sea,Mytilus galloprovincialis,Mediterranean mussel,MOLLUSCA,Mussels,Mediterranean and Black Sea,0.05,0.28,0.48,0.64,0.78,0.22,0.46,134572.23,172982.13,82246.6,48280.7,111389.83,2016,0.37,345964.27,30387.26,0.18,0.01,0.07,0.02,0.12,0.01,0.05,1068,CBA,0.88,100389.54
Oncorhynchus_keta-Pacific_Northeast,Oncorhynchus keta,Chum(=Keta=Dog) salmon,PISCES,"Salmons, trouts, smelts",Pacific Northeast,0.06,0.33,0.54,0.69,0.79,0.22,0.5,261578.78,304693.49,164911.9,99523.48,211042.93,2016,0.43,609386.97,61202.68,0.22,0.37,1.69,0.61,2.79,0.29,1.32,60331,Domestic,0.74,0
Oncorhynchus_keta-Pacific_Northwest,Oncorhynchus keta,Chum(=Keta=Dog) salmon,PISCES,"Salmons, trouts, smelts",Pacific Northwest,0.66,1.06,1.25,1.34,1.39,0.21,1.18,516708.49,811421.72,1017612.2,858834,1088034.06,2016,0.66,1622843.45,233624.09,0.33,0.18,0.54,0.21,0.64,0.17,0.51,181580,Domestic,0.74,0
Oncorhynchus_kisutch-Pacific_Northeast,Oncorhynchus kisutch,Coho(=Silver) salmon,PISCES,"Salmons, trouts, smelts",Pacific Northeast,0.05,0.29,0.52,0.68,0.79,0.23,0.48,177201.61,170289.06,87871.3,48552.87,115710.89,2016,0.31,340578.11,25046.71,0.15,0.17,1.08,0.3,1.95,0.13,0.82,14549,Domestic,0.79,0
Oncorhynchus_masou-Pacific_Northwest,Oncorhynchus masou,Masu(=Cherry) salmon,PISCES,"Salmons, trouts, smelts",Pacific Northwest,0.05,0.34,0.56,0.7,0.76,0.23,0.51,21295.54,18386.89,10325.9,6180.73,12846.51,2016,0.3,36773.77,2712.29,0.15,0.09,0.59,0.15,0.98,0.07,0.47,909,CBA,0.74,0
Oncorhynchus_nerka-Pacific_Northeast,Oncorhynchus nerka,Sockeye(=Red) salmon,PISCES,"Salmons, trouts, smelts",Pacific Northeast,0.75,1.22,1.31,1.36,1.4,0.16,1.25,340885.96,535611.96,702997.1,651672.67,730076.99,2016,0.62,1071223.92,145526.43,0.31,0.19,0.61,0.2,0.65,0.18,0.58,131850,CBA,0.70,0
Oncorhynchus_nerka-Pacific_Northwest,Oncorhynchus nerka,Sockeye(=Red) salmon,PISCES,"Salmons, trouts, smelts",Pacific Northwest,0.61,0.72,0.85,1.02,1.3,0.19,0.88,140178.35,108081.04,92288.3,77714.28,110405.81,2016,0.61,216162.09,30800.61,0.31,0.55,1.79,0.65,2.13,0.46,1.5,50519,CBA,0.70,0
Oncorhynchus_tshawytscha-Pacific_Northeast,Oncorhynchus tshawytscha,Chinook(=Spring=King) salmon,PISCES,"Salmons, trouts, smelts",Pacific Northeast,0.07,0.3,0.48,0.66,0.79,0.22,0.47,128189.65,119062.06,56867.7,35191.34,78895.67,2016,0.27,238124.13,15949.82,0.14,0.11,0.82,0.18,1.32,0.08,0.59,6288,Domestic,0.74,0
Ostrea_edulis-Atlantic_Northeast,Ostrea edulis,European flat oyster,MOLLUSCA,Oysters,Atlantic Northeast,0.07,0.33,0.49,0.63,0.78,0.2,0.47,19254.47,16893.26,8332.6,5497.16,10651.83,2016,0.26,33786.53,2163.44,0.13,0.08,0.65,0.13,0.99,0.07,0.51,700,Domestic,0.87,1688.66
Ostrea_edulis-Mediterranean and Black Sea,Ostrea edulis,European flat oyster,MOLLUSCA,Oysters,Mediterranean and Black Sea,0.05,0.27,0.47,0.64,0.78,0.22,0.45,20271.83,15542.43,7353.9,4150.35,9982.35,2016,0.27,31084.86,2101.08,0.14,0.06,0.43,0.1,0.76,0.04,0.32,428,Domestic,0.87,80.2
Pagellus_bogaraveo-Atlantic_Northeast,Pagellus bogaraveo,Blackspot(=red) seabream,PISCES,Miscellaneous coastal fishes,Atlantic Northeast,0.05,0.27,0.49,0.67,0.79,0.23,0.47,120254.29,113923.83,56281.3,30990.83,76197.58,2016,0.13,227847.65,7206.56,0.06,0.02,0.23,0.03,0.42,0.01,0.17,850,Domestic,0.43,178
